	time	mood	social	alone	morale	stress	fatigue	compulsions	with_k_activity	therapy_activity	work_activity	working_activity	with_parents_activity	errandss_activity	washing_up_activity	school_work_activity	reading_activity	commuting_activity	meditation_activity	shopping_activity	tv_activity	chatting_activity	studying_activity	email_activity	eating_activity	workshop_activity	in_class_activity	just_woke_up_activity	cooking_activity	errands_activity	schoolwork_activity	feedly_activity	ash_stuff_activity	resting_activity	with_friends_activity	getting_ready_activity	working_out_activity	trying_to_leave_apt_activity	leisure_activity	mountain_view_location	vacation_location	la_location	parents_home_location	therapy_location	home_location	michelle_home_location	airport_location	k_home_location	cafe_location	library_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	calorie	distance	mean_speed
41	2018-05-23 12:29:23.816714-04:00	3.5	2	True	3.5	0.5	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.610964	0.0	0.595826	0.0	0.0	96.54933200372714	10.43910324014143	-3.4062660262220743	10	40.48	22	1	22	5	0	0.0	0.0	0.0
42	2018-05-23 13:52:52.643972-04:00	3.0	2	True	3.5	0.0	2.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0.0	0.0	0.0	0.0	0.0	0.0	0.784724	96.6909311066263	16.454447398142005	-8.4453519807421	6	75.52	25	1	41	8	0	0.0	0.0	0.0
43	2018-05-23 18:12:59.538082-04:00	5.0	3	False	4.0	0.0	1.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	0.0	0.0	0.509816	0.0	0.660864	0.0	0.0	75.17416188254285	80.21605368603521	38.68243644130764	0	69.19	22	1	6	1	0	50.329997999999996	1159.3099	1.2885488
44	2018-05-23 19:16:11.521331-04:00	4.5	5	False	4.5	0.0	1.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0.542857	0.0	0.559979	0.0	0.840363	0.0	0.0	96.70371429004443	24.27739627202957	-7.632978540285792	1	56.81	22	1	14	3	0	0.0	0.0	0.0
45	2018-05-23 20:18:53.374607-04:00	4.0	2	False	4.0	0.0	2.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0.542857	0.0	0.559979	0.0	0.840363	0.0	0.0	96.70371429004443	24.27739627202957	-7.632978540285792	1	60.49	22	1	0	0	0	60.47	1426.05	1.380288
46	2018-05-24 12:57:11.844826-04:00	4.5	3	True	4.0	1.0	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.601401	0.0	0.0	0.0	0.676189	96.82744097709656	9.961892627078392	-3.0962941731103575	29	62.41	25	1	79	16	0	0.0	0.0	0.0
47	2018-05-24 14:09:44.732305-04:00	4.0	1	True	4.5	0.5	2.5	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.504602	0.0	0.0	0.0	0.0	0.831039	97.74942456004776	2.7923653474617227	-0.9201801771593985	9	94.84	26	1	29	4	0	0.0	0.0	0.0
48	2018-05-24 16:46:03.133409-04:00	3.0	3	True	4.0	1.0	3.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.890302	0.0	0.0	96.08420838336555	15.035046109526741	-1.941289524490736	12	65.51	30	1	9	2	0	0.0	0.0	0.0
49	2018-05-24 17:47:01.866590-04:00	2.5	3	True	3.5	0.5	3.5	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.544697	0.0	0.0	0.0	0.0	0.0	0.0	91.92544834788252	25.88479153882968	-15.646640650250696	10	89.69	25	1	48	4	0	0.0	0.0	0.0
50	2018-05-24 19:15:38.710480-04:00	2.5	1	True	3.0	1.0	3.5	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	0.573868	0.0	0.572785	0.0	0.795905	0.0	0.0	91.92544834788252	25.88479153882968	-15.646640650250696	10	48.03	24	1	10	1	0	0.0	0.0	0.0
