distance	duration	create_time	mean_speed	calorie
748.11	661009	1521232802.967	1.1317698	35.05
1612.0	1214242	1509763511.048	1.3275772	69.8
989.75	814080	1514106177.626	1.2157896	42.56
975.73	816880	1495411845.447	1.1944593	45.77
758.48	687835	1535680498.233	1.1027063	33.11
982.85004	780792	1526964384.664	1.258786	41.93
1620.99	1254657	1495592821.211	1.2919786	69.07
1928.41	1653287	1512988008.992	1.1664096	86.29
1279.91	1089372	1525835695.472	1.1749063	54.13
941.97	687220	1493500590.325	1.3706963	41.06
1880.51	1483819	1497027752.705	1.2673446	80.5
1578.95	1333304	1491884404.399	1.1842386	67.53
2490.62	2048521	1525497816.936	1.2158138	112.93
1040.54	801657	1496332434.276	1.2979865	52.66
1219.08	988905	1505278078.33	1.2327574	52.5
1495.83	1228854	1536303883.608	1.2172562	66.1
1006.11	747499	1505100954.042	1.3459684	43.2
849.1	719785	1492999524.465	1.1796578	37.42
737.79	673864	1506581708.39	1.0948647	32.04
1397.11	1054918	1510794896.259	1.3243779	61.2
1450.84	1163560	1501554647.571	1.2468975	64.52
1234.62	959378	1512519494.359	1.2868963	57.01
1815.74	1405235	1524117577.082	1.2921255	84.85
1002.17	705481	1493316539.118	1.4205486	43.010002
906.54	681293	1531935879.376	1.330617	40.54
1718.64	1407137	1517946893.337	1.2213736	75.52
1717.04	1234170	1510688551.398	1.3912508	74.24
2418.61	2021007	1532559238.449	1.196735	106.0
923.45	740140	1528830899.943	1.2476692	39.65
1692.5	1382954	1532315380.919	1.2238296	74.77
852.3	665322	1531245084.492	1.281034	38.28
1880.73	1509849	1519964938.447	1.2456411	85.93
1552.8	1151794	1525302645.052	1.3481576	67.840004
1892.85	1415607	1534805373.088	1.3371296	86.14
906.03	699214	1520637215.945	1.2957835	41.010002
981.61	780000	1535851463.764	1.2584742	42.29
1147.59	964016	1536109726.524	1.1904263	52.61
1420.61	1215017	1511753639.017	1.1692101	62.78
1061.41	785166	1526601296.444	1.3518289	44.97
1405.78	1131252	1526695941.24	1.2426764	62.34
907.53	697504	1524698917.413	1.3011109	38.98
1134.36	912099	1523561350.614	1.2436808	53.89
1028.15	725638	1495475797.9	1.416891	44.11
892.23	680764	1525906515.189	1.3106304	39.11
1301.83	1075244	1510039966.851	1.2107298	57.63
1072.67	970277	1520299428.081	1.1055297	50.39
2535.34	1990127	1509398300.115	1.273959	110.22
878.3	695834	1492400098.12	1.2622265	37.81
1271.24	1063601	1533436619.1	1.1952227	54.64
1197.74	911647	1525233773.71	1.3138199	51.94
1362.79	1089461	1514442810.659	1.2508847	58.79
1016.74	744752	1494572370.309	1.3652061	44.19
998.4	763847	1494186769.083	1.307068	45.5
1023.29	824221	1492709090.439	1.2415239	45.26
812.95	666387	1495649112.473	1.2199368	34.43
1196.41	866597	1495926277.428	1.380584	51.3
1687.87	1455425	1508555697.851	1.1597095	72.55
1832.35	1484859	1510372495.964	1.2340229	86.26
1544.89	1140000	1510609383.235	1.3551667	65.99
1387.49	1205089	1516776942.429	1.151359	65.68
775.63	653542	1505614938.058	1.1868097	33.16
1254.08	913913	1501995296.607	1.3722093	52.84
1500.01	1288056	1510783492.517	1.1645535	65.04
1086.43	872568	1533356889.512	1.2450949	54.48
772.79	665522	1503115538.05	1.1611788	33.079998
1196.65	943693	1501043697.478	1.2680501	51.07
1633.09	1233563	1526941805.838	1.3238804	74.46
1844.01	1231178	1521757132.73	1.4977607	79.68
1439.72	940363	1501964956.08	1.5310258	63.44
987.91	757879	1507932022.287	1.3035194	43.670002
758.76	641015	1534235700.139	1.1836852	31.3
1704.28	1488185	1514743277.77	1.1452072	76.99
866.13	628982	1517006221.837	1.3770347	37.91
1091.54	876564	1511398149.842	1.2452484	49.09
1385.33	1035866	1513773895.677	1.3373641	59.149998
1061.18	866053	1532382896.07	1.2253062	52.56
1643.72	1363514	1517285689.818	1.205503	71.74
1662.01	1205390	1510973090.537	1.3788153	71.44
920.56	856485	1497029741.487	1.0748116	40.31
1004.98	765561	1521231845.728	1.3127366	46.26
1014.76	839900	1496091294.208	1.2081915	44.04
1026.35	748710	1514034586.218	1.3708243	43.39
1176.65	965011	1508392544.665	1.2193124	50.22
1062.79	865017	1508887001.186	1.2286348	46.98
822.5	671857	1493538382.811	1.2242188	36.07
1007.54	707997	1505330405.734	1.4230851	43.12
864.4	714810	1501457692.649	1.2092725	37.05
831.3	720648	1507166485.056	1.153545	34.93
947.04	678007	1504059828.472	1.3967997	40.89
1016.02997	749699	1495777802.552	1.3552505	44.64
1633.41	1239501	1519843724.153	1.3177965	70.29
1143.69	894005	1500869057.451	1.2792882	51.82
1000.26	791296	1499043293.762	1.2640783	45.44
1142.5599	958930	1528401205.083	1.1914947	48.71
1610.67	1285225	1516668752.233	1.2532202	69.95
2316.34	1868834	1532143779.028	1.2394574	100.45
2755.34	2172260	1536105360.406	1.2684208	118.52
1515.95	1245822	1511322444.937	1.2168272	65.7
1071.9401	777916	1506632627.024	1.3779638	46.079998
994.76	738329	1535953188.788	1.3473127	45.78
1411.7999	1156661	1502609034.279	1.2205822	62.34
944.37	727487	1508495997.475	1.2981262	42.09
752.45	659867	1532065870.756	1.1403056	33.82
789.16003	664570	1502430976.674	1.1874746	34.56
933.87	760510	1532109670.085	1.2279522	41.73
1629.1	1268425	1520569418.783	1.2843487	70.96
1119.83	883290	1520062495.939	1.2677941	51.39
770.18	655267	1508381693.691	1.1753682	33.06
694.68	632379	1502517865.644	1.0985184	30.25
1496.13	1187175	1523945435.966	1.2602439	65.57
1007.35	787964	1494143403.337	1.2784214	46.38
1650.38	1333954	1531542222.869	1.2372091	69.28
1038.89	777905	1495842882.028	1.3354973	48.77
855.92	684495	1504294719.321	1.2504401	38.53
1394.13	1080830	1536796742.43	1.2898698	60.44
1523.07	1139144	1519353288.51	1.3370302	65.75
996.33	792134	1502948747.957	1.2577796	43.32
872.66	727454	1534736665.08	1.1996086	43.11
1017.43	817704	1535062761.565	1.2442521	43.63
3812.8	3071995	1496786465.811	1.2411479	167.3
1113.59	866585	1512958495.016	1.2850326	48.73
996.02997	753199	1508522152.406	1.3223995	43.1
1903.56	1557763	1505959382.478	1.2219831	83.34
1719.49	1382944	1525898686.677	1.2433548	74.75
1686.21	1458395	1535681573.909	1.1562095	72.09
1385.01	1084749	1513208778.503	1.2768022	66.19
1179.22	917405	1492142924.079	1.2853864	50.21
750.68	658813	1519185298.657	1.1394433	32.61
834.45	691694	1513134224.483	1.2063861	36.68
1000.41003	753907	1501281284.969	1.3269674	43.44
1504.27	1088379	1519418794.883	1.3821197	64.91
716.27997	669888	1496273171.446	1.0692533	35.73
1228.4	927391	1509936894.38	1.3245761	54.8
1908.4501	1563908	1501553022.205	1.2203084	82.51
2042.35	1743858	1535791782.047	1.1711675	87.56
946.3	671124	1502856477.929	1.4100225	41.92
847.71	631120	1514116606.499	1.3431835	37.49
940.13	755757	1502255892.457	1.2439581	40.73
1770.38	1414534	1495841052.301	1.2515641	76.340004
823.5	659181	1513222150.797	1.2492776	35.65
1061.88	941942	1533686125.812	1.1273305	45.49
957.58997	832557	1526704195.658	1.1501794	42.01
4262.53	3470784	1502330378.046	1.2281172	192.35
1933.87	1429496	1536564315.167	1.3528334	87.24
1002.19	749877	1492668327.676	1.3364726	46.07
1006.86	770513	1500438674.169	1.3067398	43.06
1221.79	977455	1499070063.245	1.2499706	53.32
1823.01	1487950	1516945587.501	1.2251823	83.55
1402.02	1188240	1516418833.909	1.1799132	61.05
1159.87	941400	1513117481.512	1.2320693	49.64
839.04	665167	1507261597.686	1.2613975	35.77
806.34	681846	1518651156.99	1.1825837	35.8
1125.85	866197	1495160640.624	1.2997621	49.94
1482.91	1214274	1506224141.626	1.2212317	63.7
1117.04	876928	1508803647.013	1.2738104	47.93
830.23	670466	1530527053.136	1.2382879	34.3
1265.1799	1014540	1527404050.207	1.2470478	55.4
2161.89	1931794	1496152481.437	1.11911	98.31
681.99	655773	1502064481.155	1.0399787	40.03
1713.73	1293109	1525820997.781	1.3252789	73.5
986.3	905059	1519425901.291	1.0897633	49.03
2794.88	2133555	1522959295.347	1.309964	117.26
2324.1301	1868535	1493345510.731	1.2438247	103.96
1751.66	1314034	1536448107.318	1.3330401	78.46
1474.85	1206081	1527913045.092	1.222845	63.3
967.62	744130	1492909654.202	1.3003373	41.72
929.01	690675	1492891970.604	1.3450756	40.4
1092.21	845391	1496767533.062	1.2919585	47.8
3193.86	2416139	1524356366.02	1.3218858	138.94
1006.76	750873	1500786361.659	1.340786	43.38
1141.35	913323	1528854200.929	1.2496674	50.579998
2287.02	1874740	1492568100.857	1.2199132	99.82
982.58	681160	1502038497.492	1.4425099	42.27
743.51	687616	1531345529.581	1.0812867	31.77
1004.02997	841959	1494006784.989	1.1924928	43.66
822.49	691932	1526981056.963	1.1886861	37.89
1453.95	1064598	1525198499.304	1.3657267	63.36
714.41	676335	1533185698.337	1.056296	31.46
1903.9401	1612960	1515241028.861	1.1804012	83.2
2131.95	1538952	1536548848.448	1.3853258	90.09
1227.35	1032052	1499305695.219	1.1892327	53.59
1190.54	986622	1500749703.992	1.206683	57.19
1590.27	1353019	1526707057.296	1.1753492	68.61
973.54	732537	1492299458.551	1.3289979	45.7
1133.28	774509	1513044900.511	1.4632239	47.8
