max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,5a5f560b-8c7a-4faf-bc75-02a6dede03cd.live_data.json,,1687.87,,,,avnWu77KPA,1455425,2017-10-20 23:14:57.851,5a5f560b-8c7a-4faf-bc75-02a6dede03cd,,,,,,,,2017-10-20 23:14:57.851,UTC-0300,1.1597095,,,,,,2017-10-20 22:52:15.000,1.3814999,1001,2017-10-20 22:28:00.000,,com.sec.android.app.shealth,,,72.55,,,,
,5a6d937f-fafa-481b-a13c-d4d33e3f4772.live_data.json,,1832.35,,,,avnWu77KPA,1484859,2017-11-10 22:54:55.964,5a6d937f-fafa-481b-a13c-d4d33e3f4772,,,,,,,,2017-11-10 22:54:55.964,UTC-0400,1.2340229,,,,,,2017-11-10 22:50:03.000,2.75,1001,2017-11-10 22:25:19.000,,com.sec.android.app.shealth,,,86.26,,,,
,5aa73a49-c6b2-4279-8301-41656ecd1ca7.live_data.json,,1544.89,,,,avnWu77KPA,1140000,2017-11-13 16:43:03.235,5aa73a49-c6b2-4279-8301-41656ecd1ca7,,,,,,,,2017-11-13 16:43:03.235,UTC-0400,1.3551667,,,,,,2017-11-13 16:35:00.000,1.7366667,1001,2017-11-13 16:16:00.000,,com.sec.android.app.shealth,,,65.99,,,,
,5b2d3707-a152-4122-880a-245d7a78c7cd.live_data.json,,1387.49,,,,avnWu77KPA,1205089,2018-01-24 01:55:42.429,5b2d3707-a152-4122-880a-245d7a78c7cd,,,,,,,,2018-01-24 01:55:42.429,UTC-0400,1.151359,,,,,,2018-01-24 01:49:05.000,1.4308333,1001,2018-01-24 01:29:00.000,,com.sec.android.app.shealth,,,65.68,,,,
,5b46748e-5e98-4f82-996f-a29da241b8b9.live_data.json,,775.63,,,,avnWu77KPA,653542,2017-09-16 22:22:18.058,5b46748e-5e98-4f82-996f-a29da241b8b9,,,,,,,,2017-09-16 22:22:18.058,UTC-0300,1.1868097,,,,,,2017-09-16 22:13:21.000,1.4444444,1001,2017-09-16 22:02:28.000,,com.sec.android.app.shealth,,,33.16,,,,
,5b4aece9-a309-4c04-8a13-98cee498e69f.live_data.json,,1254.08,,,,avnWu77KPA,913913,2017-08-06 00:54:56.607,5b4aece9-a309-4c04-8a13-98cee498e69f,,,,,,,,2017-08-06 00:54:56.607,UTC-0300,1.3722093,,,,,,2017-08-06 00:33:37.000,1.7222222,1001,2017-08-06 00:18:24.000,,com.sec.android.app.shealth,,,52.84,,,,
,5b5aaf7d-2e1a-4d98-a36a-835ab914da83.live_data.json,,1500.01,,,,avnWu77KPA,1288056,2017-11-15 17:04:52.517,5b5aaf7d-2e1a-4d98-a36a-835ab914da83,,,,,,,,2017-11-15 17:04:52.517,UTC-0400,1.1645535,,,,,,2017-11-15 17:00:28.000,1.4722222,1001,2017-11-15 16:39:00.000,,com.sec.android.app.shealth,,,65.04,,,,
,5bf20c08-898a-43a1-9d6b-3a8e07cb8ce8.live_data.json,,1086.43,,,,dgrrqaEJmv,872568,2018-08-04 00:28:09.512,5bf20c08-898a-43a1-9d6b-3a8e07cb8ce8,,,,,,,,2018-08-04 00:28:09.512,UTC-0300,1.2450949,,,,,,2018-08-04 00:22:08.000,1.5572046,1001,2018-08-04 00:07:36.000,,com.sec.android.app.shealth,,,54.48,,,,
,5c82c720-185b-4334-9828-d1639891866e.live_data.json,,772.79,,,,avnWu77KPA,665522,2017-08-19 00:05:38.050,5c82c720-185b-4334-9828-d1639891866e,,,,,,,,2017-08-19 00:05:38.050,UTC-0400,1.1611788,,,,,,2017-08-19 00:04:05.000,2.1388888,1001,2017-08-18 23:53:00.000,,com.sec.android.app.shealth,,,33.079998,,,,
,5c85a30c-5b53-4789-b502-7a485e74da74.live_data.json,,1196.65,,,,avnWu77KPA,943693,2017-07-26 00:34:57.478,5c85a30c-5b53-4789-b502-7a485e74da74,,,,,,,,2017-07-26 00:34:57.478,UTC-0300,1.2680501,,,,,,2017-07-26 00:26:43.000,2.4722223,1001,2017-07-26 00:11:00.000,,com.sec.android.app.shealth,,,51.07,,,,
,5c8f6edc-dafa-48f4-b5d8-a24fb7c01b1d.live_data.json,,1633.09,,,,avnWu77KPA,1233563,2018-05-21 18:30:05.838,5c8f6edc-dafa-48f4-b5d8-a24fb7c01b1d,,,,,,,,2018-05-21 18:30:05.838,UTC-0300,1.3238804,,,,,,2018-05-21 18:28:34.000,1.5583603,1001,2018-05-21 18:08:00.000,,com.sec.android.app.shealth,,,74.46,,,,
