com.samsung.shealth.activity.day_summary,6000085,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,44880000,2018-09-02 04:00:00.605,4414.658,6061,6229,3306292,1535846400000,dgrrqaEJmv,3312353,0,com.sec.android.app.shealth,2018-09-03 02:25:49.174,1680000,1e355dcf-a790-4801-97ec-b6b3ec8518c4,1e355dcf-a790-4801-97ec-b6b3ec8518c4.extra_data.json,196.13033
0,-1,-1,2017-04-13 12:53:40.904,0.0,0,0,0,1490745600000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-04-13 12:53:40.904,0,1e370390-2e1c-49fc-b7ec-629b0b4ee6ca,1e370390-2e1c-49fc-b7ec-629b0b4ee6ca.extra_data.json,0.0
0,-1,38820000,2017-09-14 04:00:01.410,7064.44,133389,10010,5722975,1505347200000,avnWu77KPA,5856364,0,com.sec.android.app.shealth,2017-09-15 03:49:47.201,870195,1e902879-7522-40ff-9d6a-c528ff5d1291,1e902879-7522-40ff-9d6a-c528ff5d1291.extra_data.json,311.41815
0,-1,43560000,2018-05-26 04:00:27.198,9044.658,10667,12909,7358912,1527292800000,avnWu77KPA,7369579,0,com.sec.android.app.shealth,2018-05-27 04:37:14.819,1436108,22187292-8605-4e97-9923-d9f503c4386f,22187292-8605-4e97-9923-d9f503c4386f.extra_data.json,407.17065
0,-1,39540000,2018-07-01 07:39:18.563,4101.8926,4000,5731,3492609,1530403200000,avnWu77KPA,3496609,0,com.sec.android.app.shealth,2018-07-02 06:19:10.834,670466,22371ee3-167a-428a-b8c0-350e88eb7db5,22371ee3-167a-428a-b8c0-350e88eb7db5.extra_data.json,175.55
0,-1,51060000,2018-08-30 04:00:00.425,6121.5923,4800,8666,5093807,1535587200000,dgrrqaEJmv,5098607,0,com.sec.android.app.shealth,2018-08-31 02:48:43.625,1458395,229da6fa-2b45-4cc5-82fd-7c3861812c0a,229da6fa-2b45-4cc5-82fd-7c3861812c0a.extra_data.json,276.1052
0,-1,42720000,2017-07-25 04:14:45.330,15476.198,199115,21690,12533550,1500940800000,avnWu77KPA,12732665,0,com.sec.android.app.shealth,2017-07-27 23:11:23.719,2281130,23b81e91-76bf-4da9-8345-4e0dc0061ed4,23b81e91-76bf-4da9-8345-4e0dc0061ed4.extra_data.json,673.1461
0,-1,36480000,2018-04-22 05:03:09.110,4306.991,2400,6169,3588236,1524355200000,avnWu77KPA,3590636,0,com.sec.android.app.shealth,2018-04-23 02:03:34.374,799874,23f96db5-f535-4f1c-a9fb-319c4d4bb371,23f96db5-f535-4f1c-a9fb-319c4d4bb371.extra_data.json,193.74916
0,-1,32520000,2018-03-29 18:31:05.308,4664.9595,113214,6287,3885843,1522368000000,avnWu77KPA,3999057,0,com.sec.android.app.shealth,2018-03-30 18:06:11.207,360000,2408af0a-9614-4608-b4b8-3fce7c605da1,2408af0a-9614-4608-b4b8-3fce7c605da1.extra_data.json,206.38005
0,-1,27660000,2017-05-01 04:01:42.126,4749.651,52844,6711,3939866,1493596800000,avnWu77KPA,3992710,0,com.sec.android.app.shealth,2017-05-02 03:58:15.098,786854,2420a850-6dda-4505-bf57-e86b5a9e132b,2420a850-6dda-4505-bf57-e86b5a9e132b.extra_data.json,209.98512
