create_time	distance	time_offset	count	speed	calorie
1534482701.894	81.81	UTC-0500	117	1.3634999	3.51
1531461300.556	79.41	UTC-0300	116	1.3235	3.48
1531024497.535	79.9	UTC-0600	113	1.3333334	3.39
1534195980.51	65.98	UTC-0400	93	1.3333334	2.79
1532485020.125	82.329926	UTC-0300	122	1.3721654	3.8799968
1532110397.396	76.68	UTC-0300	121	1.6388888	3.77
1531187520.189	76.32001	UTC-0300	111	1.2720001	3.3299987
1534727322.545	78.19	UTC-0300	111	1.3055556	3.33
1532212612.107	9.8	UTC-0300	10	3.4527698	0.55
1532751864.864	63.78	UTC-0300	93	1.3055556	3.17
1533856758.187	15.649997	UTC-0400	23	1.092147	0.6899998
1530935200.887	39.73	UTC-0600	57	1.3333334	1.71
1531708501.122	71.93	UTC-0300	104	1.1988335	3.12
1531718180.06	6.3899994	UTC-0300	9	1.3401365	0.27
1534717686.474	4.54	UTC-0300	7	0.9722222	0.22
1534392900.971	4.76	UTC-0500	7	1.1388888	0.21
1534601667.555	34.17	UTC-0300	48	1.3611112	1.44
1532918098.607	54.59	UTC-0300	80	1.1111112	2.4
1531246522.237	71.03	UTC-0300	101	1.2777778	3.02
1531532263.221	4.89	UTC-0300	7	1.1388888	0.21
1531547712.824	79.15	UTC-0300	114	1.3191667	3.42
1532152160.838	43.09	UTC-0300	61	1.3333334	1.83
1532945584.576	28.750002	UTC-0300	38	1.8452693	1.1299996
1533273296.919	73.56	UTC-0300	105	1.2777778	3.15
1534730097.884	13.69	UTC-0300	19	1.4722222	0.56
1534297887.401	22.97	UTC-0500	35	1.3333334	1.25
1531344015.592	22.370005	UTC-0300	32	1.1758908	0.94999963
1534492502.538	77.22	UTC-0500	116	1.4166666	3.48
1534890014.716	13.71	UTC-0300	20	1.1111112	0.6
1534570499.926	66.88	UTC-0500	100	1.2777778	3.21
1531847553.532	6.5899997	UTC-0300	10	0.92478245	0.31
1531458853.505	15.23	UTC-0300	22	1.3333334	0.73
1531283794.794	32.66	UTC-0300	47	1.2222222	1.41
1533184845.865	78.13	UTC-0300	112	1.3021666	3.36
1533428134.218	21.19	UTC-0300	32	1.0277778	0.99
1534805373.019	63.46	UTC-0300	90	1.3055556	2.7
1532997741.8	61.16	UTC-0300	87	1.2777778	2.61
1533794109.357	72.35	UTC-0400	106	1.2058333	3.18
1534234535.045	74.18	UTC-0500	101	1.5833334	3.02
1531506680.62	82.2	UTC-0300	117	1.3699999	3.51
1532495364.717	84.62	UTC-0300	118	1.4166666	3.54
1532021734.888	81.76	UTC-0300	116	1.3626667	3.48
1532401111.853	45.65	UTC-0300	72	1.1388888	3.05
1532488494.969	5.16	UTC-0300	8	0.8333333	0.25
1534485483.508	49.41	UTC-0500	88	1.0833334	3.85
1532821482.735	27.39	UTC-0300	39	1.2777778	1.16
1531865322.247	21.96	UTC-0300	31	1.3333334	0.93
1531864527.578	39.18	UTC-0300	56	1.2741735	1.68
1533945304.092	56.05	UTC-0400	80	1.25	2.4
1531011298.854	24.45	UTC-0600	33	1.5833334	1.1
1534818105.243	86.54	UTC-0300	120	1.4722222	3.6
1531287640.148	12.769998	UTC-0300	19	1.1462898	0.51
1534489622.523	52.489998	UTC-0500	75	1.2882122	2.25
1531461972.796	57.76	UTC-0300	83	1.1944444	2.49
1534392966.851	66.63	UTC-0500	97	1.1388888	2.91
1530953700.469	55.76	UTC-0600	79	1.3055556	2.37
1533706943.479	11.040001	UTC-0400	16	1.2027998	0.48000002
1534605271.066	62.54	UTC-0300	90	1.2222222	2.7
1531020120.657	44.53	UTC-0600	62	1.3964938	1.84
1534974803.795	86.47	UTC-0300	122	1.4411668	3.66
1530855480.473	2.76	UTC-0600	4	1.1666666	0.12
